Authors,Author full names,Author(s) ID,Title,Year,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords
Robock A.; Sanjayan M.; Parthasarathy S.; MacCracken M.,"Robock, Alan (7004299063); Sanjayan, M. (6602311542); Parthasarathy, Shobita (8965032700); MacCracken, Michael (7004079572)",7004299063; 6602311542; 8965032700; 7004079572,Geoengineering research,2011,,https://www.scopus.com/pages/publications/79955740504?origin=resultslist,"Department of Environmental Sciences, Rutgers University, New Brunswick, NJ, United States; Nature Conservancy, Arlington, VA, United States; Science, Technology, and Public Policy Program, Ford School of Public Policy, University of Michigan, Ann Arbor, MI, United States; Climate Institute, Washington, DC, United States","Robock A., Department of Environmental Sciences, Rutgers University, New Brunswick, NJ, United States; Sanjayan M., Nature Conservancy, Arlington, VA, United States; Parthasarathy S., Science, Technology, and Public Policy Program, Ford School of Public Policy, University of Michigan, Ann Arbor, MI, United States; MacCracken M., Climate Institute, Washington, DC, United States","Ken Caldeira and David W Keith in their study entitled 'The Need for Climate Engineering Research', issued a call for geoengineering research, aimed at reducing emissions of greenhouse gases that cause global warming. Their call for a solar radiation management research program includes three phases such as computer and laboratory research, small-scale field experiments, and tests of deployable systems. Argument is made for a rapid increase in research spending around aspects of geoengineering through prudent safeguarding against the worst effects of catastrophic global warming and ability to significantly and comprehensively reduce greenhouse gas emissions. A public understanding of climate change and of geoengineering solutions to deal with the most immediate problems of such change will undermine transparency and equitable decision making. On the other hand, inventors need to decide independently and without authorization from a state or other relevant governing body to deploy a relevant technology.",
Harding A.; Moreno-Cruz J.B.,"Harding, Anthony (57192937322); Moreno-Cruz, Juan B. (36872459400)",57192937322; 36872459400,Solar geoengineering economics: From incredible to inevitable and half-way back,2016,10.1002/2016EF000462,https://www.scopus.com/pages/publications/85009291535?origin=resultslist,"School of Economics, Georgia Institute of Technology, Atlanta, GA, United States","Harding A., School of Economics, Georgia Institute of Technology, Atlanta, GA, United States; Moreno-Cruz J.B., School of Economics, Georgia Institute of Technology, Atlanta, GA, United States","Solar geoengineering technologies are unique in many ways, and the economic incentives they could unleash are just as interesting. Since their introduction as a potential alternative, economists have been intrigued by the potential of these technologies to dramatically alter the way we think about climate policy. As our scientific understanding of the technologies evolve, so does the way economists think about them. In this paper, we document the evolution of economic thinking around these technologies since before Crutzen (2006) until today and provide some fruitful areas for further research. © 2016 The Authors.",Climate Policy; Economic Analysis; Economics; Geoengineering; Geoengineering
Chen Y.; Xin Y.,"Chen, Ying (56471050400); Xin, Yuan (57194413359)",56471050400; 57194413359,Implications of geoengineering under the 1.5 °C target: Analysis and policy suggestions,2017,10.1016/j.accre.2017.05.003,https://www.scopus.com/pages/publications/85019973920?origin=resultslist,"Institute for Urban and Environmental Studies, Chinese Academy of Social Sciences (CASS), Beijing, 100028, China; Graduate School, CASS, Beijing, 102488, China; Development and Research Center, China Meteorological Administration, Beijing, 100081, China","Chen Y., Institute for Urban and Environmental Studies, Chinese Academy of Social Sciences (CASS), Beijing, 100028, China; Xin Y., Graduate School, CASS, Beijing, 102488, China, Development and Research Center, China Meteorological Administration, Beijing, 100081, China","The Paris Agreement introduced a 1.5 °C target to control the rise in global temperature, but clear arrangements for feasible implementation pathways were not made. Achieving the 1.5 °C target imposes high requirements on global emission reduction. Nationally Determined Contributions of all Parties are far from the 1.5 °C target, and conventional emission reduction technologies and policies will also have difficulty in fulfilling this task. In this context, geoengineering is gaining interest in the international arena. The Paris Agreement includes afforestation, carbon capture, utilization and storage, and negative emission technologies such as bio-energy with carbon capture and store. All of these techniques are CO2 removal technologies that belong to geoengineering. Solar radiation management, which is highly controversial, has also attracted increased attention in recent years. Although the outline of the IPCC Special Report on 1.5 °C does not include a specific section on geoengineering issues yet, geoengineering is an unconventional technical option that cannot be avoided in research and discussions on impact assessment, technical options, ethics, and international governance under the 1.5 °C target. On the basis of analyzing and discussing abovementioned issues, this paper proposes several policy suggestions for China to strengthen research on and response to geoengineering. © 2017 National Climate Center (China Meteorological Administration)",1.5 °C target; Geoengineering; Paris Agreement
Lin A.,"Lin, Albert (36053273000)",36053273000,Geoengineering: imperfect yet perhaps important options for addressing climate change,2020,10.4337/9781788972840.00036,https://www.scopus.com/pages/publications/85139299051?origin=resultslist,"University of California, Davis, CA, United States","Lin A., University of California, Davis, CA, United States","Geoengineering proposals have drawn growing attention as possible climate change responses. Carbon dioxide removal (CDR) would reduce greenhouse gas (GHG) concentrations in the atmosphere, whereas solar radiation management (SRM) would diminish the radiation absorbed by the Earth without reducing atmospheric GHG concentrations. Some CDR techniques have progressed beyond basic field experimentation, but the scaling up of CDR remains a difficult challenge. SRM techniques are relatively undeveloped, although scientists have proposed limited field experiments. Compared to CDR, SRM would be cheaper to implement and faster acting, but would involve greater environmental risks and uncertainties. Both types of techniques have prompted ethical concerns about public participation, the geographical and temporal distribution of risks and benefits, and the potential to undermine efforts to reduce GHG emissions. Controversy surrounding geoengineering and worries about how the technologies might develop have led to calls for governance, whether through an international agreement, a research registry, or other means. © David M. Konisky 2020. All rights reserved.",
Bala G.,"Bala, Govindasamy (10042470700)",10042470700,Space sunshades and climate change,2014,10.1007/978-94-007-5784-4_25,https://www.scopus.com/pages/publications/85031420111?origin=resultslist,"Center for Atmospheric and Oceanic Sciences, Indian Institute of Science, Divecha Center for Climate Change, Bangalore, 560 012, India","Bala G., Center for Atmospheric and Oceanic Sciences, Indian Institute of Science, Divecha Center for Climate Change, Bangalore, 560 012, India","The accelerated rate of increase in atmospheric CO2 concentrations in recent years and the inability of humankind to move away from carbon-based energy system have led to the revival of the idea of counteracting global warming through geoengineering schemes. Two categories of geoengineering proposals have been suggested: solar radiation management (SRM) and carbon dioxide removal (CDR) methods. SRM schemes would attempt to reduce the amount of solar radiation absorbed by our planet. Placing reflectors or mirrors in space, injecting aerosols into the stratosphere, and enhancing the albedo of marine clouds are some of the proposed SRM methods. In this section, the various space-based SRM methods which are likely to reduce the incoming solar radiation uniformly across the globe are discussed. In the past decade, the effects of these space sunshades on the climate system have been simulated using climate models by reducing the amount of incoming solar radiation by appropriate amounts (reduced solar constant). Key modeling results on the extent of global and regional climate change mitigation, unintended side effects, and unmitigated effects are briefly discussed. © Springer Science+Business Media Dordrecht 2014.",Climate change; Geoengineering; Global water cycle; L1 Lagrange point; Ocean acidification; Solar radiation management; Space sunshades
Ming T.; De Richter R.; Liu W.; Caillol S.,"Ming, Tingzhen (35187448500); De Richter, Renaud (6504801538); Liu, Wei (56230332600); Caillol, Sylvain (6508161410)",35187448500; 6504801538; 56230332600; 6508161410,Fighting global warming by climate engineering: Is the Earth radiation management and the solar radiation management any option for fighting climate change,2014,10.1016/j.rser.2013.12.032,https://www.scopus.com/pages/publications/84892951822?origin=resultslist,"School of Energy and Power Engineering, Huazhong University of Science and Technology, Wuhan 430074, China; Institut Charles Gerhardt Montpellier, UMR5253 CNRS-UM2, Ecole Nationale Supérieure de Chimie de Montpellier, 34296 Montpellier Cedex 5, 8 rue de l'Ecole Normale, France","Ming T., School of Energy and Power Engineering, Huazhong University of Science and Technology, Wuhan 430074, China; De Richter R., Institut Charles Gerhardt Montpellier, UMR5253 CNRS-UM2, Ecole Nationale Supérieure de Chimie de Montpellier, 34296 Montpellier Cedex 5, 8 rue de l'Ecole Normale, France; Liu W., School of Energy and Power Engineering, Huazhong University of Science and Technology, Wuhan 430074, China; Caillol S., Institut Charles Gerhardt Montpellier, UMR5253 CNRS-UM2, Ecole Nationale Supérieure de Chimie de Montpellier, 34296 Montpellier Cedex 5, 8 rue de l'Ecole Normale, France","The best way to reduce global warming is, without any doubt, cutting down our anthropogenic emissions of greenhouse gases. But the world economy is addict to energy, which is mainly produced by fossil carbon fuels. As economic growth and increasing world population require more and more energy, we cannot stop using fossil fuels quickly, nor in a short term. On the one hand, replacing this addiction with carbon dioxide-free renewable energies, and energy efficiency will be long, expensive and difficult. On the other hand, meanwhile effective solutions are developed (i.e. fusion energy), global warming can be alleviated by other methods. Some geoengineering schemes propose solar radiation management technologies that modify terrestrial albedo or reflect incoming shortwave solar radiation back to space. In this paper we analyze the physical and technical potential of several disrupting technologies that could combat climate change by enhancing outgoing longwave radiation and cooling down the Earth. The technologies proposed are power-generating systems that are able to transfer heat from the Earth surface to the upper layers of the troposphere and then to the space. The economical potential of some of these technologies is analyzed as they can at the same time produce renewable energy, thus reduce and prevent future greenhouse gases emissions, and also present a better societal acceptance comparatively to geoengineering. © 2014 The Authors.",Clear-sky radiative cooling; Downdraft evaporative tower; Earth radiation management; Geoengineering; Heat pipe; Solar updraft chimney; Thermal shortcuts
Welch A.; Gaines S.; Marjoram T.; Fonseca L.,"Welch, Aaron (55216730900); Gaines, Sarah (25642670900); Marjoram, Tony (55216436800); Fonseca, Luciano (24764496100)",55216730900; 25642670900; 55216436800; 24764496100,Climate engineering: The way forward?,2012,10.1016/j.envdev.2012.02.001,https://www.scopus.com/pages/publications/84860990334?origin=resultslist,"UNESCO, Natural Sciences Sector, 75732 Paris Cedex 15, 1, rue Miollis, France; University of Brasilia, Brazil","Welch A., UNESCO, Natural Sciences Sector, 75732 Paris Cedex 15, 1, rue Miollis, France; Gaines S., UNESCO, Natural Sciences Sector, 75732 Paris Cedex 15, 1, rue Miollis, France; Marjoram T., UNESCO, Natural Sciences Sector, 75732 Paris Cedex 15, 1, rue Miollis, France; Fonseca L., UNESCO, Natural Sciences Sector, 75732 Paris Cedex 15, 1, rue Miollis, France, University of Brasilia, Brazil","The deliberate large-scale manipulation of the climate is increasingly being discussed as a potential tool to ensure the basic condition for a sustainable future: a habitable climate. While far from the ideal solution, the rate of climate change continues to outpace our attempts at a response, prompting some scientists and politicians to call for the consideration of climate engineering or geoengineering to avoid catastrophic climate change, while political processes to reduce greenhouse gases catch up. A November 2010 expert meeting was held at UNESCO to raise awareness of geoengineering, its potential to counteract climate change and its risks, and to broaden the discussion within the international community. Potential geoengineering methods include solar radiation management and carbon dioxide removal techniques that are largely theoretical and remain untested, despite a long history. Responsible research can only proceed, and informed decisions be made, once governance structures have been developed beyond mere principles insufficient to guide researchers and policy makers. At the same time, realistic communication on these activities must increase and improve so that civil society can play a role in determining acceptable levels and types of human intervention. Appropriate geoengineering research should be considered for solar geoengineering methods that promise to quickly and affordably decrease global mean temperature, and for carbon geoengineering methods that target the core problem of climate change by directly removing carbon dioxide from the atmosphere. A small cadre of scientists and policy makers has advanced the discussion of geoengineering and its likely impacts, but the path to a sustainable future cannot be charted until the wider international community asks some fundamental questions about what kind of regulation is appropriate, how it should be implemented and by whom and at what cost. This task is urgent, and only by raising awareness of geoengineering can we secure the participation of the international community in developing governance structures and ensuring that responsible research on geoengineering proceeds in a timely and consensual manner. © 2012 Elsevier B.V.",Carbon dioxide removal; Climate change; Climate engineering; Earth system; Geoengineering; Governance; Solar radiation management
Hickman J.,"Hickman, John (7102666057)",7102666057,Climate Hegemony and Control Over the Global Thermostat,2025,10.1002/9781394204847.ch10,https://www.scopus.com/pages/publications/85215585627?origin=resultslist,"Department of Government and International Studies, Berry College, Rome, GA, United States","Hickman J., Department of Government and International Studies, Berry College, Rome, GA, United States","The climate crisis is a collective action problem. Solar radiation management geoengineering, will be increasingly attractive to decision-makers for at least two reasons. First, it promises to rapidly reduce average global temperatures, and second, would allow major power decision-makers to circumvent the multinational decision-making of the current climate regime. In this chapter we examine how hegemonic stability theory and auction theory arguments apply to the installation of an orbital sunshield to mitigate against global warming. © 2025 Scrivener Publishing LLC.",auction theory; collective action problems; hegemonic stability theory; Orbital sunshade
Alemanno A.; Sugiyama M.,"Alemanno, Alberto (26434160900); Sugiyama, Masa (59255432000)",26434160900; 59255432000,Regulating the Unthinkable: Climate Interventions as a Test Case for Risk Governance,2026,10.1017/err.2025.10076,https://www.scopus.com/pages/publications/105028621560?origin=resultslist,"HEC Paris, Paris, France; School of Public Policy, The University of Tokyo, Bunkyo, Japan; Institute for Future Initiatives, The University of Tokyo, Bunkyo, Japan","Alemanno A., HEC Paris, Paris, France, School of Public Policy, The University of Tokyo, Bunkyo, Japan; Sugiyama M., Institute for Future Initiatives, The University of Tokyo, Bunkyo, Japan","As the risk of climate overshoot grows, attention increasingly turns to climate interventions, that is technologies designed to actively alter the climate system beyond conventional mitigation and adaptation. The article addresses questions of institutional legitimacy and recognition justice, the implications of international legal fragmentation, competing approaches to risk analysis, the application of precautionary and prevention principles, market governance of CDR, the role of intellectual property regimes, and regional perspectives. The most striking tension revolves around the question of how risks should be analysed and compared. Climate intervention governance does not exist in a vacuum but is an emerging field shaped by partial institutional coverage, normative contestation, and private-sector acceleration against a background of limited public salience. This article situates climate intervention governance within broader debates on risk regulation. Building on and critically synthesising the contributions published in the European Journal of Risk Regulation’s Special Issue devoted to the governance challenges posed by Solar Radiation Modification (SRM) and Carbon Dioxide Removal (CDR), the article identifies cross-cutting themes that will shape governance debates in the coming years. It concludes that climate intervention governance is ultimately a test case for contemporary risk analysis and regulation and collective self-governance, under conditions of radical uncertainty. © The Author(s), 2026. Published by Cambridge University Press.",carbon dioxide removal (CDR); climate interventions; geoengineering governance; solar radiation modification (SRM)
Zhou T.; Chen X.; Zhang W.; Wu B.; Chen Z.; Jiang J.; Huang X.; Hu S.; Zuo M.; Man W.; Zhang L.; Guo Z.; Lin P.; Wang L.,"Zhou, Tianjun (7402989545); Chen, Xiaolong (57131609600); Zhang, Wenxia (57193813250); Wu, Bo (7403590757); Chen, Ziming (57215667319); Jiang, Jie (57209797235); Huang, Xin (57209578282); Hu, Shuai (57201697889); Zuo, Meng (57203747707); Man, Wenmin (51461666300); Zhang, Lixia (36784202000); Guo, Zhun (55913183200); Lin, Pengfei (37022493200); Wang, Lu (55278302200)",7402989545; 57131609600; 57193813250; 7403590757; 57215667319; 57209797235; 57209578282; 57201697889; 57203747707; 51461666300; 36784202000; 55913183200; 37022493200; 55278302200,The Observed and Projected Changes of Global Monsoons: Current Status and Future Perspectives,2026,10.1007/s00376-025-5094-1,https://www.scopus.com/pages/publications/105015676295?origin=resultslist,"State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Atmospheric, Climate, and Earth Sciences Division, Pacific Northwest National Laboratory, Richland, WA, United States; Shanghai Typhoon Institute, China Meteorological Administration, Shanghai, China; State Key Laboratory of Severe Weather and Institute of Tibetan Plateau Meteorology, Chinese Academy of Meteorological Sciences, Beijing, China; State Key Laboratory of Climate System Prediction and Risk Management, Nanjing University of Information Science and Technology, Nanjing, China","Zhou T., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China; Chen X., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Zhang W., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Wu B., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Chen Z., Atmospheric, Climate, and Earth Sciences Division, Pacific Northwest National Laboratory, Richland, WA, United States; Jiang J., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Huang X., Shanghai Typhoon Institute, China Meteorological Administration, Shanghai, China; Hu S., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Zuo M., State Key Laboratory of Severe Weather and Institute of Tibetan Plateau Meteorology, Chinese Academy of Meteorological Sciences, Beijing, China; Man W., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Zhang L., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Guo Z., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Lin P., State Key Laboratory of Earth System Numerical Modeling and Application, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China; Wang L., State Key Laboratory of Climate System Prediction and Risk Management, Nanjing University of Information Science and Technology, Nanjing, China","The global monsoon system, encompassing the Asian-Australian, African, and American monsoons, sustains two-thirds of the world’s population by regulating water resources and agriculture. Monsoon anomalies pose severe risks, including floods and droughts. Recent research associated with the implementation of the Global Monsoons Model Intercomparison Project under the umbrella of CMIP6 has advanced our understanding of its historical variability and driving mechanisms. Observational data reveal a 20th-century shift: increased rainfall pre-1950s, followed by aridification and partial recovery post-1980s, driven by both internal variability (e.g., Atlantic Multidecadal Oscillation) and external forcings (greenhouse gases, aerosols), while ENSO drives interannual variability through ocean-atmosphere interactions. Future projections under greenhouse forcing suggest long-term monsoon intensification, though regional disparities and model uncertainties persist. Models indicate robust trends but struggle to quantify extremes, where thermodynamic effects (warming-induced moisture rise) uniformly boost heavy rainfall, while dynamical shifts (circulation changes) create spatial heterogeneity. Volcanic eruptions and proposed solar radiation modification (SRM) further complicate predictions: tropical eruptions suppress monsoons, whereas high-latitude events alter cross-equatorial flows, highlighting unresolved feedbacks. The emergent constraint approach is booming in terms of correcting future projections and reducing uncertainty with respect to the global monsoons. Critical challenges remain. Model biases and sparse 20th-century observational data hinder accurate attribution. The interplay between natural variability and anthropogenic forcings, along with nonlinear extreme precipitation risks under warming, demands deeper mechanistic insights. Additionally, SRM’s regional impacts and hemispheric monsoon interactions require systematic evaluation. Addressing these gaps necessitates enhanced observational networks, refined climate models, and interdisciplinary efforts to disentangle multiscale drivers, ultimately improving resilience strategies for monsoon-dependent regions. © The Author(s) 2025.",climate extreme events; decadal variability; detection and attribution; global monsoons; interannual variability; projection uncertainty
