Country,Publications_whole,Publications_fractional
United States,479,321.6
United Kingdom,213,115.5
Germany,131,66.3
China,98,46.6
Netherlands,60,27.8
Canada,59,25.2
France,52,19.7
Australia,46,31.1
Finland,42,17.4
Norway,42,12.6
India,41,23.7
Denmark,38,11.8
Japan,34,15
Switzerland,33,12.7
South Africa,27,7.2
Italy,23,10.7
Austria,21,7.8
Sweden,17,7.8
Malaysia,13,4.6
Brazil,10,3.6
New Zealand,10,3.4
Spain,9,2.8
Indonesia,9,5.6
Belgium,7,3.2
Russia,7,4.8
Singapore,7,3.6
Hong Kong,6,3
South Korea,6,3.1
Portugal,6,4.6
Greece,6,2.9
Iraq,6,1.7
Ireland,5,2.1
Saudi Arabia,5,1.6
Bangladesh,5,1.9
Argentina,5,2.6
Iran,4,1
Pakistan,4,2.8
Nigeria,4,2.1
Turkey,3,2.1
Jamaica,3,1.5
Mexico,3,1.4
Chile,3,1.3
Vietnam,3,1.1
Thailand,3,2.3
Taiwan,2,0.6
Ethiopia,2,0.8
Ghana,2,0.6
Cameroon,2,0.4
Lithuania,2,2
Cuba,1,0.5
Egypt,1,0.3
Trinidad and Tobago,1,0.1
Kenya,1,0.3
South Sudan,1,0.3
and Modeling Laboratory,1,0.3
Israel,1,0.5
Uganda,1,0.5
Kazakhstan,1,0.1
U.S. Environmental Protection Agency,1,1
Benin,1,0.2
Togo,1,0.2
Serbia,1,0.5
Czech Republic,1,1
United Arab Emirates,1,0.5
Cote d'Ivoire,1,0.2
Barbados,1,0.2
Philippines,1,0.5
North Macedonia,1,1
Perspectives Climate Research gGmbH,1,0.2
