Institution,Publications
Centre for Atmospheric and Oceanic Sciences,23
Divecha Centre for Climate Change,9
Council on Energy,3
Centre for Atmospheric Sciences,2
Department of Geopolitics and International Relations,2
School of Environmental Studies,2
Academy of Scientific and Innovative Research (AcSIR),1
"Centre for Ocean, River, Atmosphere and Land Sciences (CORAL)",1
Climate Change Program,1
Department of CSE,1
Department of Hydro and Renewable Energy,1
Department of IT,1
Energy Research & Technology,1
Global Subsidies Initiative,1
Institute of Advanced Interdisciplinary Studies,1
